,precision,recall,f1-score,support
0,0.9124579124579124,0.9334098737083811,0.9228149829738933,871.0
1,0.8789144050104384,0.9014989293361885,0.8900634249471459,467.0
2,0.8880597014925373,0.8880597014925373,0.8880597014925373,402.0
3,0.8571428571428571,0.8590909090909091,0.8581157775255391,440.0
4,0.8736462093862816,0.8491228070175438,0.8612099644128114,285.0
5,0.8954248366013072,0.8915401301518439,0.8934782608695652,461.0
6,0.8679706601466992,0.8372641509433962,0.8523409363745498,424.0
7,0.9301470588235294,0.863481228668942,0.8955752212389381,293.0
8,0.8656716417910447,0.770764119601329,0.8154657293497364,301.0
9,0.8937329700272479,0.8888888888888888,0.8913043478260869,369.0
A,0.8606965174129353,0.9202127659574468,0.8894601542416453,188.0
B,0.7368421052631579,0.7777777777777778,0.7567567567567568,54.0
C,0.9565217391304348,0.7719298245614035,0.8543689320388349,57.0
D,0.9565217391304348,0.88,0.9166666666666666,50.0
E,0.9393939393939394,0.7948717948717948,0.8611111111111112,39.0
F,0.8448275862068966,0.7903225806451613,0.8166666666666667,62.0
G,0.9,0.9,0.9,20.0
H,0.855072463768116,0.8676470588235294,0.8613138686131386,68.0
K,0.7368421052631579,0.7924528301886793,0.7636363636363637,53.0
L,0.8301886792452831,0.8979591836734694,0.8627450980392157,49.0
M,0.7272727272727273,0.5,0.5925925925925926,16.0
N,0.4444444444444444,0.5,0.47058823529411764,8.0
P,0.8571428571428571,0.6923076923076923,0.7659574468085106,26.0
S,0.8888888888888888,0.8888888888888888,0.8888888888888888,9.0
T,0.7692307692307693,0.7692307692307693,0.7692307692307693,26.0
U,0.5,1.0,0.6666666666666666,2.0
V,0.8,0.8,0.8,5.0
X,0.625,0.5555555555555556,0.5882352941176471,9.0
Y,0.6666666666666666,0.5,0.5714285714285714,4.0
Z,1.0,1.0,1.0,2.0
∅,0.0,0.0,0.0,165.0
accuracy,0.8438277511961723,0.8438277511961723,0.8438277511961723,0.8438277511961723
macro avg,0.7986684348819538,0.7832992729478107,0.7859594332196443,5225.0
weighted avg,0.8539031669295711,0.8438277511961723,0.8481735014269975,5225.0
